TIME,SL,EEG,BP,HR,CIRCLUATION,target
4722.92,4019.64,-1.60E+03,13,79,317,1
8620.28,24949.9,-3198.06,35,157,1519,1
9238.73,39245.5,-2.59E+03,15,196,1885,1
12276.4,59742,-5101,56,249,2826,0
7069.95,15336.6,-3000.09,81,133,847,0
10255.7,66668,-6050,97,207,3048,0
6411.13,9698,-2686,59,104,652,0
9764.47,51960.7,-2.51E+03,16,188,2599,1
15208.6,90305.4,-2.28E+03,53,223,2059,1
6628.08,6490.83,-1923.04,23,100,485,0
7836.78,5545,-2661,41,126,371,0
10787.8,103850,-4705,85,237,4804,0
7347.39,13978,-3121,24,126,765,0
15563.6,110121,-6.38E+03,38,322,4619,1
3840,1433.37,-606.618,32,40,100,1
18609.3,300553,-12391,73,464,10829,0
12024.8,115245,-2.02E+03,47,235,4905,1
23099.1,280276,-13215,264,465,8741,0
13071.6,151812,-6450,66,284,6506,0
19248.1,162489,-1.06E+04,88,388,6290,1
19217.4,205811,-10695,61,390,6741,0
12894.8,60525,-4.78E+03,25,247,2754,1
10721.5,38062.2,-4162.48,129,205,1751,1
5993.3,4806,-1941,18,111,345,0
20309.9,291719,-11688,242,487,10978,0
12888.4,171016,-6821,63,299,7334,0
7478.85,14147.7,-2295.22,90,120,809,1
17083.7,94618,-8497,92,365,3633,0
5382.92,4179.02,-1499.3,122,88,318,1
9434.08,38959,-4287.95,20,193,2118,1
20368.8,193489,-4.90E+03,93,403,6746,1
12773,70843,-5725,29,210,2894,0
5205.31,4188,-2124,15,88,318,0
13768.3,50902.1,-4.04E+03,47,234,2464,1
20676.4,244148,-6136,48,368,5025,0
9564.01,12121.7,-2630.01,92,136,619,1
6766.37,7326,-2343,57,108,517,0
8754.11,27397,-4556,13,142,1255,0
17682.4,174076,6.30E+03,66,403,6746,1
10201.5,43306,-4973,33,199,2061,0
14025.1,92585.3,-5.58E+03,50,254,3885,1
8368.98,26567,-3618,28,165,1524,0
14703.1,93227,-5737,47,311,3802,0
10996.9,87333.1,-2.39E+03,14,220,3450,1
7511.6,14204.6,-2351.32,82,120,809,1
11172.1,48737,-5984,176,233,2325,0
8253.66,22740,-1810,23,138,1206,0
10445.5,84668.3,-2.01E+03,25,220,3450,1
24511,474472,-1.07E+04,45,483,15505,1
9756.25,38530,-2126,34,209,1524,0
15547.5,67787,-6540,61,273,2129,0
19176.5,299930,-10794,87,407,10820,0
6363.31,9414,-2356,34,101,586,0
8825.51,35892,-3519,40,175,1868,0
8936.12,28128.2,-2820.32,95,156,1521,1
8648.61,15678,-3176,77,125,889,0
24235.6,275831,-1.29E+04,83,540,8870,1
5799.93,6030,-1152,12,80,316,0
8087.84,23021,-2302,17,145,1357,0
7383.83,12007,-1608,26,145,768,0
9464.38,10028.9,-1.66E+03,47,154,587,1
5849.32,4670,-2029,46,95,344,0
8513.96,26319.7,-2.32E+03,30,156,1364,1
9332.9,26774,-2.36E+03,31,156,1364,1
14511.3,170352,-8728,40,339,7341,0
8802.65,27497.3,-1.91E+03,45,156,1364,1
8626.26,21900,-3695,17,147,1018,0
13262.2,46178,-5749.48,48,273,2061,1
12625.4,79552.2,-4.77E+03,37,272,3539,1
11889.8,114530,-4.27E+03,43,235,4905,1
8071.87,14318.6,-1963.13,91,120,809,1
18327.5,175790,-12389,45,430,6635,0
13718.2,143417,-6182.51,179,308,6057,1
6795.8,12570.1,-1849.35,12,105,765,1
13372,190854,-8983,252,350,7945,0
12895.3,60001.1,-5.59E+03,26,247,2754,1
8184.05,8281,-4037,16,137,399,0
10900,37792.9,-3.09E+03,41,196,1997,1
12895,59376,-6706,42,281,2541,0
12710,88837,-6240,52,302,3891,0
12925.8,81599,-6817,62,265,3292,0
11197,79880.6,-5.72E+03,37,272,3539,1
21183.2,324568,-13759,323,482,10983,0
4534.61,3397.19,-1070.32,43,60,243,0
4268.21,2013.37,-1076.53,5,63,166,1
6850.9,4364,-2641,19,111,272,0
23904.3,276650,-9.67E+03,105,537,8350,1
7799.87,16190,-2635,22,137,810,0
12756,68486,-4464,38,264,2681,0
10707.6,20770,-2326,21,110,655,0
12827.8,83655.8,-2.99E+03,30,220,3450,1
13869.1,66809.9,-3.81E+03,49,224,2192,1
14366.1,173121,-6332,86,320,6522,0
22876.7,414869,-12806,95,509,13313,0
13385.7,158829,-6132,65,306,7090,0
12833.3,146095,-5999,61,317,6400,0
8902.07,24049.4,-2939.3,24,154,1252,1
10832.4,47380,-5304,60,201,2316,0
4883.25,3228,-1698,11,72,226,0
4087.59,2310.6,-1042.97,22,54,165,0
11409,33376,-3886,24,168,1211,0
8678.42,25827.7,-2.42E+03,28,156,1364,1
12856,95849,-6398,44,259,4146,0
9585.89,26095.7,-3396.21,27,174,1415,1
14581.8,112831,-8850,60,338,4723,0
13324.1,137340,-5968.22,176,279,5626,0
10725.9,37881.7,-4077.25,112,205,1751,1
11366.8,55567,-6302,122,237,2679,0
10556.3,49268.8,-5.01E+03,26,216,2677,1
9005.99,12426.5,-2672.12,93,136,619,1
8060.63,29645.5,-3969.08,42,179,1626,0
7227.66,13730,-2369,28,120,813,0
7056.68,11808,-4137,27,115,803,0
9388.22,27247.8,-2924,94,158,1403,1
15584.2,246354,-6758,64,360,8725,0
8588.78,26821.5,-2.54E+03,33,156,1364,1
15496.8,128042,-8414,251,325,5739,0
16746.5,59076,-11599,90,354,2330,0
8355.73,21771,-3423,73,156,1211,0
9063.3,23613,-3635,24,158,1258,0
5221.12,3526.35,-789.216,49,51,132,1
13138.9,89889.3,-5.58E+03,62,254,3885,1
16658.2,137142,-8453,83,375,5426,0
11214.7,81200,-7183,140,253,3970,0
10631.9,27523.1,-4207.29,38,214,1469,1
5925.06,7643,-3609,11,108,487,0
13540.8,51676.6,-2.87E+03,44,234,2464,1
10102.4,49292.3,-5.12E+03,42,216,2677,1
11223.7,91969,-4929,41,230,4241,0
6772.75,7659,-4207,12,109,484,0
11796.1,53810,-3978,34,235,2460,0
12402.8,75233,-6065,76,248,3538,0
4359.93,2059.16,-1060.72,7,63,166,1
13097.7,79842.1,-7.02E+03,42,272,3539,1
11254.4,43140.8,-2.14E+03,68,223,2059,1
8627.92,9540,-2159,44,134,487,0
